"index_id","name","collection","fields","total_hits"
"CICAgPjChIAJ","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgPjChIAJ","room_listings","isAvailable;isSponsored;type;roomCount;bathroomCount;furnishedStatus;propertyCondition;price;createdAt;__name__","4"
"CICAgNiryokJ","projects/blingbling-app/databases/(default)/collectionGroups/pom/indexes/CICAgNiryokJ","pom","userId;createdAt;__name__","4"
"CICAgNj4ho8J","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNj4ho8J","room_listings","isAvailable;isSponsored;locationParts.kab;type;furnishedStatus;price;createdAt;__name__","4"
"CICAgJiH7ZQJ","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgJiH7ZQJ","room_listings","isAvailable;isSponsored;type;price;createdAt;__name__","4"
"CICAgJjUlJYJ","projects/blingbling-app/databases/(default)/collectionGroups/subCategories/indexes/CICAgJjUlJYJ","subCategories","active;order;__name__","4"
"CICAgNiZwpcJ","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNiZwpcJ","room_listings","isAvailable;isSponsored;locationParts.kab;type;propertyCondition;price;createdAt;__name__","4"
"CICAgLiTsZgJ","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLiTsZgJ","products","categoryParentId;locationParts.kel;status;isAiVerified;createdAt;__name__","4"
"CICAgPjChIAK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgPjChIAK","room_listings","isAvailable;isSponsored;locationParts.kab;type;roomCount;bathroomCount;price;createdAt;__name__","4"
"CICAgNj4jYAK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgNj4jYAK","products","locationParts.kel;status;isAiVerified;createdAt;__name__","4"
"CICAgLjIw4AK","projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgLjIw4AK","clubs","locationParts.kel;isSponsored;createdAt;__name__","4"
"CICAgOiPyoAK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgOiPyoAK","products","categoryId;locationParts.kel;status;isAiVerified;createdAt;__name__","4"
"CICAgNjpgYIK","projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgNjpgYIK","posts","userId;createdAt;__name__","4"
"CICAgOj3mIMK","projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgOj3mIMK","posts","tags;createdAt;__name__","4"
"CICAgJjH1IMK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJjH1IMK","products","categoryParentId;locationParts.kab;status;isAiVerified;createdAt;__name__","4"
"CICAgLjy1YQK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLjy1YQK","products","locationParts.kec;status;isAiVerified;createdAt;__name__","4"
"CICAgNirhYUK","projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgNirhYUK","clubs","locationParts.kab;isSponsored;createdAt;__name__","4"
"CICAgNiZuIYK","projects/blingbling-app/databases/(default)/collectionGroups/pom/indexes/CICAgNiZuIYK","pom","searchIndex;createdAt;__name__","4"
