name,codepoint_hex,codepoint_dec
10k,0xe951,59729
10mp,0xe952,59730
11mp,0xe953,59731
123,0xeb8d,60301
12mp,0xe954,59732
13mp,0xe955,59733
14mp,0xe956,59734
15mp,0xe957,59735
16mp,0xe958,59736
17mp,0xe959,59737
18_up_rating,0xf8fd,63741
18mp,0xe95a,59738
19mp,0xe95b,59739
1k,0xe95c,59740
1k_plus,0xe95d,59741
1x_mobiledata,0xefcd,61389
1x_mobiledata_badge,0xf7f1,63473
20mp,0xe95e,59742
21mp,0xe95f,59743
22mp,0xe960,59744
23mp,0xe961,59745
24fps_select,0xf3f2,62450
24mp,0xe962,59746
2d,0xef37,61239
2k,0xe963,59747
2k_plus,0xe964,59748
2mp,0xe965,59749
30fps,0xefce,61390
30fps_select,0xefcf,61391
360,0xe577,58743
3d,0xed38,60728
3d_rotation,0xe84d,59469
3g_mobiledata,0xefd0,61392
3g_mobiledata_badge,0xf7f0,63472
3k,0xe966,59750
3k_plus,0xe967,59751
3mp,0xe968,59752
3p,0xefd1,61393
4g_mobiledata,0xefd2,61394
4g_mobiledata_badge,0xf7ef,63471
4g_plus_mobiledata,0xefd3,61395
4k,0xe072,57458
4k_plus,0xe969,59753
4mp,0xe96a,59754
50mp,0xf6f3,63219
5g,0xef38,61240
5g_mobiledata_badge,0xf7ee,63470
5k,0xe96b,59755
5k_plus,0xe96c,59756
5mp,0xe96d,59757
60fps,0xefd4,61396
60fps_select,0xefd5,61397
6_ft_apart,0xf21e,61982
6k,0xe96e,59758
6k_plus,0xe96f,59759
6mp,0xe970,59760
7k,0xe971,59761
7k_plus,0xe972,59762
7mp,0xe973,59763
8k,0xe974,59764
8k_plus,0xe975,59765
8mp,0xe976,59766
9k,0xe977,59767
9k_plus,0xe978,59768
9mp,0xe979,59769
abc,0xeb94,60308
ac_unit,0xeb3b,60219
access_alarm,0xe855,59477
access_alarms,0xe855,59477
access_time,0xefd6,61398
access_time_filled,0xefd6,61398
accessibility,0xe84e,59470
accessibility_new,0xe92c,59692
accessible,0xe914,59668
accessible_forward,0xe934,59700
accessible_menu,0xf34e,62286
account_balance,0xe84f,59471
account_balance_wallet,0xe850,59472
account_box,0xe851,59473
account_child,0xe852,59474
account_child_invert,0xe659,58969
account_circle,0xf20b,61963
account_circle_filled,0xf20b,61963
account_circle_off,0xf7b3,63411
account_tree,0xe97a,59770
action_key,0xf502,62722
activity_zone,0xe1e6,57830
acupuncture,0xf2c4,62148
acute,0xe4cb,58571
ad,0xe65a,58970
ad_group,0xe65b,58971
ad_group_off,0xeae5,60133
ad_off,0xf7b2,63410
ad_units,0xf2eb,62187
adaptive_audio_mic,0xf4cc,62668
adaptive_audio_mic_off,0xf4cb,62667
adb,0xe60e,58894
add,0xe145,57669
add_2,0xf3dd,62429
add_a_photo,0xe439,58425
add_ad,0xe72a,59178
add_alarm,0xe856,59478
add_alert,0xe003,57347
add_box,0xe146,57670
add_business,0xe729,59177
add_call,0xf0b7,61623
add_card,0xeb86,60294
add_chart,0xef3c,61244
add_circle,0xe3ba,58298
add_circle_outline,0xe3ba,58298
add_column_left,0xf425,62501
add_column_right,0xf424,62500
add_comment,0xe266,57958
add_diamond,0xf49c,62620
add_home,0xf8eb,63723
add_home_work,0xf8ed,63725
add_ic_call,0xf0b7,61623
add_link,0xe178,57720
add_location,0xe567,58727
add_location_alt,0xef3a,61242
add_moderator,0xe97d,59773
add_notes,0xe091,57489
add_photo_alternate,0xe43e,58430
add_reaction,0xe1d3,57811
add_road,0xef3b,61243
add_row_above,0xf423,62499
add_row_below,0xf422,62498
add_shopping_cart,0xe854,59476
add_task,0xf23a,62010
add_to_drive,0xe65c,58972
add_to_home_screen,0xf2b9,62137
add_to_photos,0xe39d,58269
add_to_queue,0xe05c,57436
add_triangle,0xf48e,62606
addchart,0xef3c,61244
adf_scanner,0xeada,60122
adjust,0xe39e,58270
admin_meds,0xe48d,58509
admin_panel_settings,0xef3d,61245
ads_click,0xe762,59234
agender,0xf888,63624
agriculture,0xea79,60025
air,0xefd8,61400
air_freshener,0xe2ca,58058
air_purifier,0xe97e,59774
air_purifier_gen,0xe829,59433
airline_seat_flat,0xe630,58928
airline_seat_flat_angled,0xe631,58929
airline_seat_individual_suite,0xe632,58930
airline_seat_legroom_extra,0xe633,58931
airline_seat_legroom_normal,0xe634,58932
airline_seat_legroom_reduced,0xe635,58933
airline_seat_recline_extra,0xe636,58934
airline_seat_recline_normal,0xe637,58935
airline_stops,0xe7d0,59344
airlines,0xe7ca,59338
airplane_ticket,0xefd9,61401
airplanemode_active,0xe53d,58685
airplanemode_inactive,0xe194,57748
airplay,0xe055,57429
airport_shuttle,0xeb3c,60220
airware,0xf154,61780
airwave,0xf154,61780
alarm,0xe855,59477
alarm_add,0xe856,59478
alarm_off,0xe857,59479
alarm_on,0xe858,59480
alarm_pause,0xf35b,62299
alarm_smart_wake,0xf6b0,63152
album,0xe019,57369
align_center,0xe356,58198
align_end,0xf797,63383
align_flex_center,0xf796,63382
align_flex_end,0xf795,63381
align_flex_start,0xf794,63380
align_horizontal_center,0xe00f,57359
align_horizontal_left,0xe00d,57357
align_horizontal_right,0xe010,57360
align_items_stretch,0xf793,63379
align_justify_center,0xf792,63378
align_justify_flex_end,0xf791,63377
align_justify_flex_start,0xf790,63376
align_justify_space_around,0xf78f,63375
align_justify_space_between,0xf78e,63374
align_justify_space_even,0xf78d,63373
align_justify_stretch,0xf78c,63372
align_self_stretch,0xf78b,63371
align_space_around,0xf78a,63370
align_space_between,0xf789,63369
align_space_even,0xf788,63368
align_start,0xf787,63367
align_stretch,0xf786,63366
align_vertical_bottom,0xe015,57365
align_vertical_center,0xe011,57361
align_vertical_top,0xe00c,57356
all_inbox,0xe97f,59775
all_inclusive,0xeb3d,60221
all_match,0xe093,57491
all_out,0xe90b,59659
allergies,0xe094,57492
allergy,0xe64e,58958
alt_route,0xf184,61828
alternate_email,0xe0e6,57574
altitude,0xf873,63603
ambient_screen,0xf6c4,63172
ambulance,0xf803,63491
amend,0xf802,63490
amp_stories,0xea13,59923
analytics,0xef3e,61246
anchor,0xf1cd,61901
android,0xe859,59481
android_cell_4_bar,0xef06,61190
android_cell_4_bar_alert,0xef09,61193
android_cell_4_bar_off,0xef08,61192
android_cell_4_bar_plus,0xef07,61191
android_cell_5_bar,0xef02,61186
android_cell_5_bar_alert,0xef05,61189
android_cell_5_bar_off,0xef04,61188
android_cell_5_bar_plus,0xef03,61187
android_cell_dual_4_bar,0xef0d,61197
android_cell_dual_4_bar_alert,0xef0f,61199
android_cell_dual_4_bar_plus,0xef0e,61198
android_cell_dual_5_bar,0xef0a,61194
android_cell_dual_5_bar_alert,0xef0c,61196
android_cell_dual_5_bar_plus,0xef0b,61195
android_wifi_3_bar,0xef16,61206
android_wifi_3_bar_alert,0xef1b,61211
android_wifi_3_bar_lock,0xef1a,61210
android_wifi_3_bar_off,0xef19,61209
android_wifi_3_bar_plus,0xef18,61208
android_wifi_3_bar_question,0xef17,61207
android_wifi_4_bar,0xef10,61200
android_wifi_4_bar_alert,0xef15,61205
android_wifi_4_bar_lock,0xef14,61204
android_wifi_4_bar_off,0xef13,61203
android_wifi_4_bar_plus,0xef12,61202
android_wifi_4_bar_question,0xef11,61201
animated_images,0xf49a,62618
animation,0xe71c,59164
announcement,0xe87f,59519
aod,0xf2e6,62182
aod_tablet,0xf89f,63647
aod_watch,0xf6ac,63148
apartment,0xea40,59968
api,0xf1b7,61879
apk_document,0xf88e,63630
apk_install,0xf88f,63631
app_badging,0xf72f,63279
app_blocking,0xf2e5,62181
app_promo,0xf2cd,62157
app_registration,0xef40,61248
app_settings_alt,0xf2d9,62169
app_shortcut,0xf2df,62175
apparel,0xef7b,61307
approval,0xe982,59778
approval_delegation,0xf84a,63562
approval_delegation_off,0xf2c5,62149
apps,0xe5c3,58819
apps_outage,0xe7cc,59340
aq,0xf55a,62810
aq_indoor,0xf55b,62811
ar_on_you,0xef7c,61308
ar_stickers,0xe983,59779
architecture,0xea3b,59963
archive,0xe149,57673
area_chart,0xe770,59248
arming_countdown,0xe78a,59274
arrow_and_edge,0xf5d7,62935
arrow_back,0xe5c4,58820
arrow_back_2,0xf43a,62522
arrow_back_ios,0xe5e0,58848
arrow_back_ios_new,0xe2ea,58090
arrow_circle_down,0xf181,61825
arrow_circle_left,0xeaa7,60071
arrow_circle_right,0xeaaa,60074
arrow_circle_up,0xf182,61826
arrow_cool_down,0xf4b6,62646
arrow_downward,0xe5db,58843
arrow_downward_alt,0xe984,59780
arrow_drop_down,0xe5c5,58821
arrow_drop_down_circle,0xe5c6,58822
arrow_drop_up,0xe5c7,58823
arrow_forward,0xe5c8,58824
arrow_forward_ios,0xe5e1,58849
arrow_insert,0xf837,63543
arrow_left,0xe5de,58846
arrow_left_alt,0xef7d,61309
arrow_menu_close,0xf3d3,62419
arrow_menu_open,0xf3d2,62418
arrow_or_edge,0xf5d6,62934
arrow_outward,0xf8ce,63694
arrow_range,0xf69b,63131
arrow_right,0xe5df,58847
arrow_right_alt,0xe941,59713
arrow_selector_tool,0xf82f,63535
arrow_shape_up,0xeef6,61174
arrow_shape_up_stack,0xeef7,61175
arrow_shape_up_stack_2,0xeef8,61176
arrow_split,0xea04,59908
arrow_top_left,0xf72e,63278
arrow_top_right,0xf72d,63277
arrow_upload_progress,0xf3f4,62452
arrow_upload_ready,0xf3f5,62453
arrow_upward,0xe5d8,58840
arrow_upward_alt,0xe986,59782
arrow_warm_up,0xf4b5,62645
arrows_input,0xf394,62356
arrows_more_down,0xf8ab,63659
arrows_more_up,0xf8ac,63660
arrows_output,0xf393,62355
arrows_outward,0xf72c,63276
art_track,0xe060,57440
article,0xef42,61250
article_person,0xf368,62312
article_shortcut,0xf587,62855
artist,0xe01a,57370
aspect_ratio,0xe85b,59483
assessment,0xf0cc,61644
assignment,0xe85d,59485
assignment_add,0xf848,63560
assignment_globe,0xeeec,61164
assignment_ind,0xe85e,59486
assignment_late,0xe85f,59487
assignment_return,0xe860,59488
assignment_returned,0xe861,59489
assignment_turned_in,0xe862,59490
assist_walker,0xf8d5,63701
assistant,0xe39f,58271
assistant_device,0xe987,59783
assistant_direction,0xe988,59784
assistant_navigation,0xe989,59785
assistant_on_hub,0xf6c1,63169
assistant_photo,0xf0c6,61638
assured_workload,0xeb6f,60271
asterisk,0xf525,62757
astrophotography_auto,0xf1d9,61913
astrophotography_off,0xf1da,61914
atm,0xe573,58739
atr,0xebc7,60359
attach_email,0xea5e,59998
attach_file,0xe226,57894
attach_file_add,0xf841,63553
attach_file_off,0xf4d9,62681
attach_money,0xe227,57895
attachment,0xe2bc,58044
attractions,0xea52,59986
attribution,0xefdb,61403
audio_description,0xf58c,62860
audio_file,0xeb82,60290
audio_video_receiver,0xf5d3,62931
audiotrack,0xe405,58373
auto_activity_zone,0xf8ad,63661
auto_awesome,0xe65f,58975
auto_awesome_mosaic,0xe660,58976
auto_awesome_motion,0xe661,58977
auto_delete,0xea4c,59980
auto_detect_voice,0xf83e,63550
auto_draw_solid,0xe98a,59786
auto_fix,0xe663,58979
auto_fix_high,0xe663,58979
auto_fix_normal,0xe664,58980
auto_fix_off,0xe665,58981
auto_graph,0xe4fb,58619
auto_label,0xf6be,63166
auto_meeting_room,0xf6bf,63167
auto_mode,0xec20,60448
auto_read_pause,0xf219,61977
auto_read_play,0xf216,61974
auto_schedule,0xe214,57876
auto_stories,0xe666,58982
auto_stories_off,0xf267,62055
auto_timer,0xef7f,61311
auto_towing,0xe71e,59166
auto_transmission,0xf53f,62783
auto_videocam,0xf6c0,63168
autofps_select,0xefdc,61404
automation,0xf421,62497
autopause,0xf6b6,63158
autopay,0xf84b,63563
autoplay,0xf6b5,63157
autorenew,0xe863,59491
autostop,0xf682,63106
av1,0xf4b0,62640
av_timer,0xe01b,57371
avc,0xf4af,62639
avg_pace,0xf6bb,63163
avg_time,0xf813,63507
award_meal,0xf241,62017
award_star,0xf612,62994
azm,0xf6ec,63212
baby_changing_station,0xf19b,61851
back_hand,0xe764,59236
back_to_tab,0xf72b,63275
background_dot_large,0xf79e,63390
background_dot_small,0xf514,62740
background_grid_small,0xf79d,63389
background_replace,0xf20a,61962
backlight_high,0xf7ed,63469
backlight_high_off,0xf4ef,62703
backlight_low,0xf7ec,63468
backpack,0xf19c,61852
backspace,0xe14a,57674
backup,0xe864,59492
backup_table,0xef43,61251
badge,0xea67,60007
badge_critical_battery,0xf156,61782
badminton,0xf2a8,62120
bakery_dining,0xea53,59987
balance,0xeaf6,60150
balcony,0xe58f,58767
ballot,0xe172,57714
bar_chart,0xe26b,57963
bar_chart_4_bars,0xf681,63105
bar_chart_off,0xf411,62481
barcode,0xe70b,59147
barcode_reader,0xf85c,63580
barcode_scanner,0xe70c,59148
barefoot,0xf871,63601
batch_prediction,0xf0f5,61685
bath_bedrock,0xf286,62086
bath_outdoor,0xf6fb,63227
bath_private,0xf6fa,63226
bath_public_large,0xf6f9,63225
bath_soak,0xf2a0,62112
bathroom,0xefdd,61405
bathtub,0xea41,59969
battery_0_bar,0xebdc,60380
battery_1_bar,0xf09c,61596
battery_20,0xf09c,61596
battery_2_bar,0xf09d,61597
battery_30,0xf09d,61597
battery_3_bar,0xf09e,61598
battery_4_bar,0xf09f,61599
